Artist,Album,Song,Release date,Album type,Song duration,Date&time played,Album Img,Date&time
Alej,Ballads at Sunset (Piano Version),Ballads at Sunset - Piano Version,10/13/2023,single,104000,2024-06-08T10:39:37.220Z,https://i.scdn.co/image/ab67616d0000b273c5299a72ff8967e8dc6d539f,2024-06-08 10:39:37.220000+00:00
小宮知子,ペルソナ4 オリジナル・サウンドトラック,全ての人の魂の詩,7/23/2008,album,338306,2024-06-08T10:37:52.515Z,https://i.scdn.co/image/ab67616d0000b2737d142fe444e31edae1c58a93,2024-06-08 10:37:52.515000+00:00
照井順政,「呪術廻戦 懐玉・玉折」オリジナル・サウンドトラック,Arrogance,8/5/2023,album,141000,2024-06-08T12:58:41.227Z,https://i.scdn.co/image/ab67616d0000b273be21efb34b1b948b0e239b56,2024-06-08 12:58:41.227000+00:00
Øneheart,snowfall,snowfall,1/14/2022,single,124065,2024-06-08T12:52:00.287Z,https://i.scdn.co/image/ab67616d0000b273ed50c8fe9503fd8d73d82f9f,2024-06-08 12:52:00.287000+00:00
Hisohkah,School Rooftop (Bird Sounds),School Rooftop (Bird Sounds),5/26/2023,single,85500,2024-06-08T12:49:55.716Z,https://i.scdn.co/image/ab67616d0000b273cfa7dd83878ae26374e62988,2024-06-08 12:49:55.716000+00:00
Piero Piccioni,Romantic Strings,Lady Love,5/26/2021,album,118866,2024-06-08T12:48:30.088Z,https://i.scdn.co/image/ab67616d0000b273237b035940b56f2b1581971f,2024-06-08 12:48:30.088000+00:00
Instupendo,Falling,Falling,9/16/2016,single,119744,2024-06-08T12:46:30.962Z,https://i.scdn.co/image/ab67616d0000b2731bdf6d45aaa8a7cee6c88c9c,2024-06-08 12:46:30.962000+00:00
salvia palth,melanchole,(dream),5/6/2013,album,84701,2024-06-08T12:44:30.846Z,https://i.scdn.co/image/ab67616d0000b2734a82bda3507d50ac3e039bb0,2024-06-08 12:44:30.846000+00:00
Sven Libaek,The Set (Original Motion Picture Soundtrack) [Remastered],Touching Hands,2/1/2013,album,58000,2024-06-08T12:43:05.220Z,https://i.scdn.co/image/ab67616d0000b273df510f071ece1b4366bf5822,2024-06-08 12:43:05.220000+00:00
Tomoki Hasegawa,"TV Anime ""Nil Admirari no Tenbin"" Original Soundtrack",U no Hane,8/20/2018,album,86280,2024-06-08T12:42:06.480Z,https://i.scdn.co/image/ab67616d0000b2737b3e5be563f2f988731652dc,2024-06-08 12:42:06.480000+00:00
照井順政,「呪術廻戦 懐玉・玉折」オリジナル・サウンドトラック,Our Mission,8/5/2023,album,135500,2024-06-08T12:40:39.675Z,https://i.scdn.co/image/ab67616d0000b273be21efb34b1b948b0e239b56,2024-06-08 12:40:39.675000+00:00
帆足圭吾,NieR:Automata Original Soundtrack,Faltering Prayer (Starry Sky),3/29/2017,compilation,224506,2024-06-08T12:38:23.699Z,https://i.scdn.co/image/ab67616d0000b273773ee134c736c4b5624977ed,2024-06-08 12:38:23.699000+00:00
